Accession	Organism	Kingdom	Length	Signal_Peptide	Transmembrane_Helix	Train	Fold
Q642G4	Rattus norvegicus	Metazoa	376	0	False	True	3
Q7SA88	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	439	0	False	True	3
Q9ER97	Mus musculus	Metazoa	151	0	False	True	3
Q9NW15	Homo sapiens	Metazoa	660	0	False	True	3
P10174	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	60	0	True	True	3
Q9UNE7	Homo sapiens	Metazoa	303	0	False	True	3
Q9DBA9	Mus musculus	Metazoa	547	0	False	True	3
O14253	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	780	0	False	True	3
Q99PP2	Mus musculus	Metazoa	2237	0	False	True	3
O65282	Arabidopsis thaliana	Plants	253	0	False	True	3
P00813	Homo sapiens	Metazoa	363	0	False	True	3
P38828	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	187	0	False	True	3
P39705	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	539	0	False	True	3
Q12246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	624	0	False	True	3
Q96AQ6	Homo sapiens	Metazoa	731	0	False	True	3
P13468	Drosophila melanogaster	Metazoa	463	0	False	True	3
P78780	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	357	0	False	True	3
Q9V452	Drosophila melanogaster	Metazoa	140	0	False	True	3
Q7XYY2	Arabidopsis thaliana	Plants	836	0	False	True	3
P40491	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	155	0	False	True	3
O75955	Homo sapiens	Metazoa	427	0	False	True	3
Q96EV2	Homo sapiens	Metazoa	1170	0	False	True	3
Q9Z2A5	Mus musculus	Metazoa	516	0	False	True	3
P53166	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	561	0	False	True	3
Q91XB0	Mus musculus	Metazoa	314	0	False	True	3
Q9LSQ5	Arabidopsis thaliana	Plants	204	0	False	True	3
P35728	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	441	0	False	True	3
Q9HBM0	Homo sapiens	Metazoa	779	0	False	True	3
P24118	Tetrahymena thermophila	Other	462	0	False	True	3
O43805	Homo sapiens	Metazoa	119	0	False	True	3
Q96375	Capsicum annuum	Plants	660	0	False	True	3
P16467	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	563	0	False	True	3
F4I3P9	Arabidopsis thaliana	Plants	772	0	False	True	3
Q96SY0	Homo sapiens	Metazoa	518	0	False	True	3
Q80ZG2	Rattus norvegicus	Metazoa	678	0	False	True	3
Q9VBW9	Drosophila melanogaster	Metazoa	419	0	False	True	3
A0A1W2P872	Mus musculus	Metazoa	492	0	False	True	3
P10080	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	294	0	False	True	3
Q9DEX1	Xenopus laevis	Metazoa	560	0	False	True	3
O94851	Homo sapiens	Metazoa	1957	0	False	True	3
Q86US8	Homo sapiens	Metazoa	1419	0	False	True	3
Q9S736	Arabidopsis thaliana	Plants	566	0	False	True	3
Q6P2H3	Homo sapiens	Metazoa	762	0	False	True	3
P50548	Homo sapiens	Metazoa	548	0	False	True	3
Q9ZVJ3	Arabidopsis thaliana	Plants	550	0	False	True	3
O74856	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	335	0	False	True	3
P38172	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	270	0	False	True	3
Q2MH31	Mus musculus	Metazoa	260	0	False	True	3
Q80TG1	Mus musculus	Metazoa	1036	0	False	True	3
Q652K4	Oryza sativa subsp. japonica	Plants	315	0	False	True	3
P27680	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	312	0	False	True	3
Q7Z2G1	Homo sapiens	Metazoa	153	0	False	True	3
Q04598	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	105	0	False	True	3
P48634	Homo sapiens	Metazoa	2157	0	False	True	3
P38175	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	177	0	False	True	3
A2ARP9	Mus musculus	Metazoa	588	0	False	True	3
Q9UK41	Homo sapiens	Metazoa	221	0	False	True	3
G5EDM7	Caenorhabditis elegans	Metazoa	627	0	False	True	3
Q9HBH1	Homo sapiens	Metazoa	243	0	False	True	3
O94423	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	421	0	False	True	3
P93045	Arabidopsis thaliana	Plants	240	0	False	True	3
P59382	Rattus norvegicus	Metazoa	212	0	False	True	3
O74876	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	357	0	False	True	3
P51830	Mus musculus	Metazoa	1353	0	False	True	3
P0DPG3	Trypanosoma brucei brucei	Other	75	0	False	True	3
P53241	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	593	0	False	True	3
Q94K75	Arabidopsis thaliana	Plants	401	0	False	True	3
O94259	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	327	0	False	True	3
F6ZDS4	Mus musculus	Metazoa	2431	0	False	True	3
F4KFT7	Arabidopsis thaliana	Plants	617	0	False	True	3
F4ITM1	Arabidopsis thaliana	Plants	398	0	False	True	3
O55207	Rattus norvegicus	Metazoa	1496	0	False	True	3
O55003	Mus musculus	Metazoa	187	0	False	True	3
Q8INR6	Drosophila melanogaster	Metazoa	1848	0	False	True	3
O95997	Homo sapiens	Metazoa	202	0	False	True	3
Q9FNP4	Arabidopsis thaliana	Plants	174	0	False	True	3
O13895	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	377	0	False	True	3
O94329	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	183	0	False	True	3
Q9UHV9	Homo sapiens	Metazoa	154	0	False	True	3
P82649	Bos taurus	Metazoa	359	0	False	True	3
Q96L08	Homo sapiens	Metazoa	255	0	False	True	3
Q9M7I7	Arabidopsis thaliana	Plants	318	0	False	True	3
O95833	Homo sapiens	Metazoa	236	0	True	True	3
Q9DAG4	Mus musculus	Metazoa	180	0	False	True	3
Q12285	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	212	0	False	True	3
P04386	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	881	0	False	True	3
P63072	Mus musculus	Metazoa	162	0	False	True	3
Q8T0G4	Drosophila melanogaster	Metazoa	629	0	False	True	3
P47988	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	759	0	False	True	3
G5EDP2	Caenorhabditis elegans	Metazoa	412	0	False	True	3
F4ISV6	Arabidopsis thaliana	Plants	537	0	False	True	3
O94585	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	187	0	False	True	3
Q9HD23	Homo sapiens	Metazoa	443	0	False	True	3
Q9FFD8	Arabidopsis thaliana	Plants	104	0	False	True	3
B9U3F2	Gallus gallus	Metazoa	1338	0	True	True	3
Q924L1	Mus musculus	Metazoa	360	0	False	True	3
Q9LU93	Arabidopsis thaliana	Plants	209	0	False	True	3
O94972	Homo sapiens	Metazoa	964	0	False	True	3
Q9LDY5	Arabidopsis thaliana	Plants	247	0	False	True	3
P60002	Homo sapiens	Metazoa	83	0	False	True	3
Q24478	Drosophila melanogaster	Metazoa	1096	0	False	True	3
Q9LD47	Arabidopsis thaliana	Plants	320	0	False	True	3
Q689G9	Oryza sativa subsp. japonica	Plants	518	0	False	True	3
Q9LFV6	Arabidopsis thaliana	Plants	1011	0	False	True	3
Q05519	Homo sapiens	Metazoa	484	0	False	True	3
Q93227	Caenorhabditis elegans	Metazoa	431	0	False	True	3
F4IF36	Arabidopsis thaliana	Plants	1295	0	False	True	3
O60216	Homo sapiens	Metazoa	631	0	False	True	3
Q9UUI2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	165	0	False	True	3
Q9H0G5	Homo sapiens	Metazoa	558	0	False	True	3
Q9S7R7	Arabidopsis thaliana	Plants	460	0	False	True	3
P09234	Homo sapiens	Metazoa	159	0	False	True	3
O15743	Dictyostelium discoideum	Other	975	0	False	True	3
Q13685	Homo sapiens	Metazoa	434	0	False	True	3
Q9UI40	Homo sapiens	Metazoa	661	0	True	True	3
Q67ZB6	Arabidopsis thaliana	Plants	462	0	False	True	3
Q94527	Drosophila melanogaster	Metazoa	971	0	False	True	3
Q69YH5	Homo sapiens	Metazoa	1023	0	False	True	3
P38803	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	334	0	False	True	3
O70456	Mus musculus	Metazoa	248	0	False	True	3
Q9C9M6	Arabidopsis thaliana	Plants	196	0	False	True	3
Q9GTP5	Crithidia fasciculata	Other	497	0	True	True	3
A0A8I3PDQ1	Canis lupus familiaris	Metazoa	834	0	False	True	3
Q9Y3C5	Homo sapiens	Metazoa	154	0	False	True	3
P40528	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	902	0	False	True	3
Q8LBB2	Arabidopsis thaliana	Plants	424	0	False	True	3
Q17604	Caenorhabditis elegans	Metazoa	161	0	False	True	3
Q9H0W9	Homo sapiens	Metazoa	315	0	False	True	3
Q04279	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	960	0	False	True	3
Q8LFW5	Arabidopsis thaliana	Plants	277	0	False	True	3
Q9VW47	Drosophila melanogaster	Metazoa	2531	0	False	True	3
O76064	Homo sapiens	Metazoa	485	0	False	True	3
P03968	Bos taurus	Metazoa	155	0	False	True	3
P61604	Homo sapiens	Metazoa	102	0	False	True	3
Q8RY95	Arabidopsis thaliana	Plants	1035	0	False	True	3
Q9NYF8	Homo sapiens	Metazoa	920	0	False	True	3
O75204	Homo sapiens	Metazoa	238	0	False	True	3
O44498	Caenorhabditis elegans	Metazoa	1623	0	False	True	3
Q13352	Homo sapiens	Metazoa	177	0	False	True	3
B2RPY5	Mus musculus	Metazoa	545	0	False	True	3
Q9C000	Homo sapiens	Metazoa	1473	0	False	True	3
O35710	Mus musculus	Metazoa	429	0	False	True	3
O94580	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	282	0	False	True	3
Q9VQI9	Drosophila melanogaster	Metazoa	1673	0	False	True	3
V6CLJ5	Caenorhabditis elegans	Metazoa	790	0	False	True	3
Q7L0X2	Homo sapiens	Metazoa	663	0	False	True	3
Q9BZR8	Homo sapiens	Metazoa	327	0	False	True	3
P92189	Drosophila melanogaster	Metazoa	321	0	False	True	3
Q9D818	Mus musculus	Metazoa	391	0	False	True	3
Q9H3S7	Homo sapiens	Metazoa	1636	0	False	True	3
Q8RWV0	Arabidopsis thaliana	Plants	741	0	False	True	3
P12687	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	371	0	False	True	3
Q5THR3	Homo sapiens	Metazoa	1501	0	False	True	3
Q9VL76	Drosophila melanogaster	Metazoa	613	0	False	True	3
O62090	Caenorhabditis elegans	Metazoa	586	0	False	True	3
Q9SS48	Arabidopsis thaliana	Plants	629	0	False	True	3
Q92349	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1318	0	False	True	3
Q64267	Mus musculus	Metazoa	272	0	False	True	3
Q9W1R5	Drosophila melanogaster	Metazoa	1854	0	False	True	3
Q9BUV0	Homo sapiens	Metazoa	290	0	False	True	3
B2RZD2	Rattus norvegicus	Metazoa	229	0	True	True	3
Q9NZD8	Homo sapiens	Metazoa	308	0	False	True	3
Q9LRH6	Arabidopsis thaliana	Plants	309	0	False	True	3
P0CG13	Homo sapiens	Metazoa	121	0	False	True	3
H2L006	Caenorhabditis elegans	Metazoa	451	0	True	True	3
Q9Z0J4	Mus musculus	Metazoa	1429	0	False	True	3
Q8IWY9	Homo sapiens	Metazoa	1227	0	False	True	3
Q07418	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	342	0	False	True	3
Q92750	Homo sapiens	Metazoa	862	0	False	True	3
Q8VYR5	Arabidopsis thaliana	Plants	444	0	False	True	3
Q99PQ2	Mus musculus	Metazoa	467	0	False	True	3
Q9V6L9	Drosophila melanogaster	Metazoa	255	0	False	True	3
O94358	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	845	0	False	True	3
O94427	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	424	0	False	True	3
Q8WVY7	Homo sapiens	Metazoa	318	0	False	True	3
Q08949	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	612	0	False	True	3
C0HLN0	Rattus norvegicus	Metazoa	54	0	True	True	3
P83111	Homo sapiens	Metazoa	547	0	False	True	3
P07255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	59	0	True	True	3
Q9C811	Arabidopsis thaliana	Plants	1495	0	False	True	3
Q9Y4F3	Homo sapiens	Metazoa	1742	0	False	True	3
P59648	Mus musculus	Metazoa	80	0	True	True	3
Q8IXW5	Homo sapiens	Metazoa	612	0	False	True	3
O94355	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	240	0	False	True	3
Q949P2	Arabidopsis thaliana	Plants	701	0	False	True	3
Q9LMA8	Arabidopsis thaliana	Plants	253	0	False	True	3
Q6PRD7	Homo sapiens	Metazoa	247	0	False	True	3
Q5PT50	Rattus norvegicus	Metazoa	340	0	True	True	3
Q04087	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	347	0	False	True	3
P82347	Mus musculus	Metazoa	289	0	False	True	3
P53331	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	553	0	False	True	3
Q8N668	Homo sapiens	Metazoa	190	0	False	True	3
P40326	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	108	0	False	True	3
P15873	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	258	0	False	True	3
O14980	Homo sapiens	Metazoa	1071	0	False	True	3
Q96P67	Homo sapiens	Metazoa	336	0	False	True	3
Q8I615	Plasmodium falciparum (isolate 3D7)	Other	1189	0	False	True	3
Q149B8	Mus musculus	Metazoa	807	0	False	True	3
P36069	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	295	0	False	True	3
O75952	Homo sapiens	Metazoa	493	0	False	True	3
Q8VYU8	Arabidopsis thaliana	Plants	396	0	False	True	3
Q86YH6	Homo sapiens	Metazoa	399	0	False	True	3
Q27934	Drosophila melanogaster	Metazoa	400	0	False	True	3
Q9Y3Z3	Homo sapiens	Metazoa	626	0	False	True	3
P42073	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	533	0	False	True	3
Q9P790	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	316	0	False	True	3
Q9M8K7	Arabidopsis thaliana	Plants	167	0	False	True	3
Q03937	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	162	0	False	True	3
P12853	Chlamydomonas reinhardtii	Plants	291	0	False	True	3
Q867W1	Procambarus clarkii	Metazoa	76	27	None	True	4
Q9C9H5	Arabidopsis thaliana	Plants	484	21	None	True	4
P00533	Homo sapiens	Metazoa	1210	24	None	True	4
Q05928	Mus musculus	Metazoa	177	31	None	True	4
P14770	Homo sapiens	Metazoa	177	16	None	True	4
Q6UXH1	Homo sapiens	Metazoa	353	24	None	True	4
Q18184	Caenorhabditis elegans	Metazoa	89	23	None	True	4
P02810	Homo sapiens	Metazoa	166	16	None	True	4
Q02862	Mus musculus	Metazoa	184	15	None	True	4
P0DPU8	Scolopendra dehaani	Metazoa	105	24	None	True	4
Q9NRR1	Homo sapiens	Metazoa	136	22	None	True	4
Q8WUJ3	Homo sapiens	Metazoa	1361	30	None	True	4
O14625	Homo sapiens	Metazoa	94	21	None	True	4
P00450	Homo sapiens	Metazoa	1065	19	None	True	4
P80090	Lymnaea stagnalis	Metazoa	122	29	None	True	4
B2NHN2	Talaromyces funiculosus	Fungi	339	20	None	True	4
P47178	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	298	19	None	True	4
P02809	Macaca fascicularis	Metazoa	61	19	None	True	4
G4ZHR2	Phytophthora sojae (strain P6497)	Other	241	19	None	True	4
Q00193	Oryctolagus cuniculus	Metazoa	540	24	None	True	4
Q10ST8	Oryza sativa subsp. japonica	Plants	96	27	None	True	4
P0DUQ6	Conus planorbis	Metazoa	70	21	None	True	4
P15450	Apis mellifera	Metazoa	53	19	None	True	4
P80686	Tenebrio molitor	Metazoa	211	16	None	True	4
C7G3K3	Liocheles australasiae	Metazoa	80	21	None	True	4
Q9BWV1	Homo sapiens	Metazoa	1114	30	None	True	4
P02230	Chironomus thummi thummi	Metazoa	151	15	None	True	4
Q8TC27	Homo sapiens	Metazoa	787	16	None	True	4
O75462	Homo sapiens	Metazoa	422	37	None	True	4
P15226	Tityus serrulatus	Metazoa	84	20	None	True	4
Q01965	Mus musculus	Metazoa	654	47	None	True	4
I3LGZ3	Sus scrofa	Metazoa	81	24	None	True	4
P53616	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	420	24	None	True	4
P14625	Homo sapiens	Metazoa	803	21	None	True	4
P17813	Homo sapiens	Metazoa	658	25	None	True	4
P0DQC1	Scolopendra dehaani	Metazoa	92	20	None	True	4
P14448	Gallus gallus	Metazoa	741	18	None	True	4
B1P0S1	Pseudopleuronectes americanus	Metazoa	218	23	None	True	4
P80915	Macadamia integrifolia	Plants	102	26	None	True	4
Q08380	Homo sapiens	Metazoa	585	18	None	True	4
P81054	Grifola frondosa	Fungi	348	18	None	True	4
A0A1S6EK92	Moringa oleifera	Plants	79	20	None	True	4
P05164	Homo sapiens	Metazoa	745	48	None	True	4
Q59Y31	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	533	21	None	True	4
Q9UKZ9	Homo sapiens	Metazoa	415	23	None	True	4
P39037	Sus scrofa	Metazoa	232	15	None	True	4
G8YYA5	Androctonus amoreuxi	Metazoa	74	22	None	True	4
P01591	Homo sapiens	Metazoa	159	22	None	True	4
A0A0R4I951	Scolopendra dehaani	Metazoa	70	23	None	True	4
Q96FE7	Homo sapiens	Metazoa	263	21	None	True	4
Q9MYV1	Canis lupus familiaris	Metazoa	128	25	None	True	4
Q8RUW5	Arabidopsis thaliana	Plants	433	19	None	True	4
Q86LE5	Rhipicephalus microplus	Metazoa	110	20	None	True	4
P34115	Dictyostelium discoideum	Other	730	20	None	True	4
P61916	Homo sapiens	Metazoa	151	19	None	True	4
Q9BZR6	Homo sapiens	Metazoa	473	26	None	True	4
Q9VA83	Drosophila melanogaster	Metazoa	227	19	None	True	4
Q9ZT64	Pinus contorta	Plants	513	23	None	True	4
C0H9B6	Salmo salar	Metazoa	413	19	None	True	4
P05160	Homo sapiens	Metazoa	661	20	None	True	4
Q28862	Bos taurus	Metazoa	310	16	None	True	4
Q24824	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	96	19	None	True	4
Q6UWI4	Homo sapiens	Metazoa	295	33	None	True	4
Q14802	Homo sapiens	Metazoa	87	20	None	True	4
Q99935	Homo sapiens	Metazoa	248	21	None	True	4
Q5EPH2	Rhipicephalus bursa	Metazoa	97	22	None	True	4
O00092	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	465	26	None	True	4
O02826	Sus scrofa	Metazoa	111	20	None	True	4
Q94637	Oscheius tipulae	Metazoa	1648	15	None	True	4
O14791	Homo sapiens	Metazoa	398	27	None	True	4
P29459	Homo sapiens	Metazoa	219	22	None	True	4
P23502	Entamoeba histolytica (strain ATCC 30459 / HM-1:IMSS / ABRM)	Other	1286	15	None	True	4
P20333	Homo sapiens	Metazoa	461	22	None	True	4
P80022	Solanum lycopersicum	Plants	230	25	None	True	4
Q8T0W3	Pimpla hypochondriaca	Metazoa	63	25	None	True	4
P19876	Homo sapiens	Metazoa	107	34	None	True	4
Q7Z5L0	Homo sapiens	Metazoa	202	24	None	True	4
P28088	Bos taurus	Metazoa	441	26	None	True	4
P10163	Homo sapiens	Metazoa	310	16	None	True	4
Q8WZI8	Aspergillus niger	Fungi	521	17	None	True	4
Q9TT95	Sus scrofa	Metazoa	120	22	None	True	4
Q13421	Homo sapiens	Metazoa	630	36	None	True	4
P01588	Homo sapiens	Metazoa	193	27	None	True	4
Q9GU69	Lymnaea stagnalis	Metazoa	64	21	None	True	4
Q8MI01	Bos taurus	Metazoa	330	23	None	True	4
P00651	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	130	26	None	True	4
O14786	Homo sapiens	Metazoa	923	21	None	True	4
P18657	Macaca fascicularis	Metazoa	83	26	None	True	4
Q1HAY7	Holotrichia diomphalia	Metazoa	317	23	None	True	4
P42705	Canis lupus familiaris	Metazoa	352	23	None	True	4
O76818	Agrotis ipsilon	Metazoa	193	19	None	True	4
P48747	Oryctolagus cuniculus	Metazoa	557	21	None	True	4
P0DL40	Vespa magnifica	Metazoa	67	21	None	True	4
Q9BZM5	Homo sapiens	Metazoa	246	25	None	True	4
Q27270	Tenebrio molitor	Metazoa	96	18	None	True	4
Q8T0W1	Pimpla hypochondriaca	Metazoa	115	22	None	True	4
G5ED35	Caenorhabditis elegans	Metazoa	135	20	None	True	4
D3Z9M3	Rattus norvegicus	Metazoa	109	16	None	True	4
Q8GT41	Platanus acerifolia	Plants	179	23	None	True	4
Q9BX93	Homo sapiens	Metazoa	195	19	None	True	4
P32803	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	203	20	None	True	4
C9K4X8	Patiria pectinifera	Metazoa	116	29	None	True	4
P13686	Homo sapiens	Metazoa	325	21	None	True	4
Q39688	Daucus carota	Plants	389	24	None	True	4
Q86Y78	Homo sapiens	Metazoa	171	22	None	True	4
Q02126	Hordeum vulgare	Plants	330	25	None	True	4
P28335	Homo sapiens	Metazoa	458	32	None	True	4
O43278	Homo sapiens	Metazoa	529	35	None	True	4
A6XMY0	Hyas araneus	Metazoa	64	25	None	True	4
P52798	Homo sapiens	Metazoa	201	25	None	True	4
Q9U572	Penaeus monodon	Metazoa	1670	14	None	True	4
P54837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	211	20	None	True	4
P17690	Bos taurus	Metazoa	345	19	None	True	4
Q7Z1K3	Anisakis simplex	Metazoa	194	23	None	True	4
Q8MP06	Tyria jacobaeae	Metazoa	456	22	None	True	4
P32358	Bombyx mori	Metazoa	579	15	None	True	4
P49256	Canis lupus familiaris	Metazoa	356	44	None	True	4
Q86QT3	Centruroides noxius	Metazoa	62	20	None	True	4
P81999	Canis lupus familiaris	Metazoa	358	22	None	True	4
L8BRS3	Morus alba	Plants	209	18	None	True	4
P20160	Homo sapiens	Metazoa	251	19	None	True	4
Q14210	Homo sapiens	Metazoa	128	20	None	True	4
P31836	Bos taurus	Metazoa	853	19	None	True	4
P00687	Mus musculus	Metazoa	511	15	None	True	4
P09230	Yarrowia lipolytica (strain CLIB 122 / E 150)	Fungi	454	15	None	True	4
Q43413	Capsicum annuum	Plants	75	27	None	True	4
P82103	Mytilus galloprovincialis	Metazoa	96	20	None	True	4
P0DKU2	Pandinus imperator	Metazoa	145	15	None	True	4
P13806	Oryctolagus cuniculus	Metazoa	1106	26	None	True	4
P03998	Limulus polyphemus	Metazoa	195	20	None	True	4
P51868	Rattus norvegicus	Metazoa	413	19	None	True	4
P21828	Bombyx mori	Metazoa	262	16	None	True	4
Q64385	Mus musculus	Metazoa	432	23	None	True	4
P33559	Aspergillus kawachii (strain NBRC 4308)	Fungi	327	25	None	True	4
P13612	Homo sapiens	Metazoa	1032	33	None	True	4
P15270	Dictyostelium discoideum	Other	424	23	None	True	4
Q4WZ11	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	87	19	None	True	4
P81160	Drosophila melanogaster	Metazoa	54	21	None	True	4
Q9Z0L3	Mus musculus	Metazoa	485	17	None	True	4
Q62813	Rattus norvegicus	Metazoa	338	28	None	True	4
P54900	Rattus norvegicus	Metazoa	215	29	None	True	4
Q8NBI3	Homo sapiens	Metazoa	349	25	None	True	4
Q13433	Homo sapiens	Metazoa	755	28	None	True	4
P15261	Mus musculus	Metazoa	477	25	None	True	4
P40259	Homo sapiens	Metazoa	229	28	None	True	4
Q7SCE9	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	385	18	None	True	4
P16144	Homo sapiens	Metazoa	1822	27	None	True	4
Q805F3	Xenopus laevis	Metazoa	397	16	None	True	4
Q27082	Tachypleus tridentatus	Metazoa	673	19	None	True	4
P13598	Homo sapiens	Metazoa	275	24	None	True	4
Q969N2	Homo sapiens	Metazoa	578	21	None	True	4
Q9GQV7	Aedes aegypti	Metazoa	128	22	None	True	4
P0DUT0	Doratifera vulnerans	Metazoa	46	19	None	True	4
Q8MMH3	Pimpla hypochondriaca	Metazoa	488	19	None	True	4
Q2ULM2	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	496	16	None	True	4
P49125	Latrodectus tredecimguttatus	Metazoa	88	18	None	True	4
P24021	Aspergillus oryzae (strain ATCC 42149 / RIB 40)	Fungi	287	20	None	True	4
P18684	Protophormia terraenovae	Metazoa	101	18	None	True	4
Q0P569	Bos taurus	Metazoa	474	24	None	True	4
P61312	Rattus norvegicus	Metazoa	146	25	None	True	4
Q945U0	Phytophthora sojae	Other	257	28	None	True	4
Q86YT9	Homo sapiens	Metazoa	394	19	None	True	4
Q9P246	Homo sapiens	Metazoa	746	14	None	True	4
P91629	Drosophila miranda	Metazoa	126	16	None	True	4
Q29486	Felis catus	Metazoa	524	17	None	True	4
P01221	Cyprinus carpio	Metazoa	118	23	None	True	4
P04552	Haliotis rufescens	Metazoa	154	18	None	True	4
Q9Y251	Homo sapiens	Metazoa	543	35	None	True	4
P04557	Bos taurus	Metazoa	140	25	None	True	4
P91745	Lucilia cuprina	Metazoa	375	20	None	True	4
Q9U943	Locusta migratoria	Metazoa	3380	21	None	True	4
P10675	Schistocerca americana	Metazoa	662	24	None	True	4
P02779	Oryctolagus cuniculus	Metazoa	91	21	None	True	4
Q12127	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133	18	None	True	4
O01949	Aedes aegypti	Metazoa	273	19	None	True	4
Q96BY9	Homo sapiens	Metazoa	339	30	None	True	4
Q07081	Aquarana catesbeiana	Metazoa	464	16	None	True	4
Q00945	Lymnaea stagnalis	Metazoa	155	26	None	True	4
Q8BHK1	Mus musculus	Metazoa	323	0	True	True	4
P48526	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1002	0	False	True	4
Q8BG07	Mus musculus	Metazoa	503	0	False	True	4
Q9BXP2	Homo sapiens	Metazoa	914	0	True	True	4
P53226	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	547	0	False	True	4
G3XA57	Mus musculus	Metazoa	512	0	False	True	4
P20290	Homo sapiens	Metazoa	206	0	False	True	4
Q9H8M2	Homo sapiens	Metazoa	597	0	False	True	4
Q9R237	Rattus norvegicus	Metazoa	708	0	False	True	4
Q9NZM5	Homo sapiens	Metazoa	478	0	False	True	4
Q6ZPR5	Mus musculus	Metazoa	823	0	False	True	4
Q39238	Arabidopsis thaliana	Plants	688	0	False	True	4
P10734	Drosophila melanogaster	Metazoa	429	0	False	True	4
Q9Y5Q8	Homo sapiens	Metazoa	519	0	False	True	4
Q86TS9	Homo sapiens	Metazoa	123	0	False	True	4
Q9D4H9	Mus musculus	Metazoa	941	0	False	True	4
Q9LEK8	Digitalis lanata	Plants	118	0	False	True	4
P59942	Homo sapiens	Metazoa	119	0	False	True	4
P82658	Arabidopsis thaliana	Plants	229	0	False	True	4
